LIST_NUM;LIST_NAME;CAND_NUM;CAND_NAME;CAND_PICTURE
7;FRATELLI D´ITALIA;17;Borgogno Katia;17. BORGOGNO KATIA.jpeg
7;FRATELLI D´ITALIA;18;Calcagno Ornella;18. CALCAGNO ORNELLA.jpeg
7;FRATELLI D´ITALIA;19;Cestari Andrea;19. CESTARI ANDREA.jpg
7;FRATELLI D´ITALIA;20;Coletti Patrizia;20. COLETTI PATRIZIA.jpg
7;FRATELLI D´ITALIA;21;Fermanelli Simona;21. FERMANELLI SIMONA.JPG
7;FRATELLI D´ITALIA;22;Ferraro Pasquale;22. FERRARO PASQUALE.jpg
7;FRATELLI D´ITALIA;23;Jabbour Antoine;23. JABBOUR ANTOINE.JPG
7;FRATELLI D´ITALIA;24;Lenzi Gabriella;24. LENZI GABRIELLA.JPG
7;FRATELLI D´ITALIA;25;Lorenzi Ivo;25. LORENZI IVO.jpeg
7;FRATELLI D´ITALIA;26; Lucci Andrea;26. LUCCI ANDREA.JPG
7;FRATELLI D´ITALIA;27;Nero Ilenia;27. NERO ILENIA.jpg
7;FRATELLI D´ITALIA;28;Norcia Oreste;28. NORCIA ORESTE.jpg
7;FRATELLI D´ITALIA;29;Oliveri Rosanna;29. OLIVERI ROSANNA.jpg
7;FRATELLI D´ITALIA;30;Palazzi Enrico;30. PALAZZI ENRICO.jpg
7;FRATELLI D´ITALIA;31;Pederzini Sandra;31. PEDERZINI SANDRA.jpeg
7;FRATELLI D´ITALIA;32;Poliseno Christian;32. POLISENO CHRISTIAN.jpg
7;FRATELLI D´ITALIA;33;Savio Judith;33. SAVIO JUDITH.jpg
7;FRATELLI D´ITALIA;34;Vicentini Mattia;34. VICENTINI MATTIA.jpg
7;FRATELLI D´ITALIA;35;Zancla Alessandro;35. ZANCLA ALESSANDRO.JPG
8;LA CIVICA;1;Albieri Emanuela;1 ema abieri.jpeg
8;LA CIVICA;2;Gennaccaro Angelo (Genna);2 AngeloGennacaro.jpeg
8;LA CIVICA;3;Zaccaria Nerio;3 NZ - Foto Provinciali 2023.jpg
8;LA CIVICA;4;Gander Stefania;4 Gander.jpeg
8;LA CIVICA;5;Filippin Mattia;5 Foto Mattia Filippin.jpg
8;LA CIVICA;6;Della Ratta Claudio;6 DallaRattaClaudio.jpeg
8;LA CIVICA;7;Hristov Mirche;7 hristov.jpg
8;LA CIVICA;8;Pocher Alex;8 PocherAlex.jpeg
8;LA CIVICA;9;Battisti Giorgia;9 BattistiGiorgia.jpeg
8;LA CIVICA;10;Bonvicini Matteo-Paolo;10 BonviciniMatteoPaolo.jpeg
8;LA CIVICA;11;Chniouli Abdallah (Ab);11 AbdallahChinouli.jpeg
8;LA CIVICA;12;Iann� Carmen Katia;12 carmen katia ianni.jpeg
8;LA CIVICA;13;Cirimbelli Elio;13 Cirimbelli.jpg
8;LA CIVICA;14;Colletti Leonardo;14 CollettiLeonardo.jpeg
8;LA CIVICA;15;Manfredi Giorgia;15 ManfrediGiorgia.jpeg
8;LA CIVICA;16;Dalla Zuanna Renato;16 renato dellazuanna.jpeg
8;LA CIVICA;17;Duso Loris;17 loris duso.jpeg
8;LA CIVICA;18;Marchese Rosalia (Rosi);18 MarcheseRosaria.jpeg
8;LA CIVICA;19;Federico Roberto;19 roberto federico.jpeg
8;LA CIVICA;20;Gambetti Vitantonio;20 Gambetti.jpeg
8;LA CIVICA;21;Marino Pasqualina (Lina);21 PasqualinaMarino.jpg
8;LA CIVICA;22;Kraler Alexander;22 KralerAlexander.jpeg
8;LA CIVICA;23;Nardo Manuel;23 NardoManuel.jpeg
8;LA CIVICA;24;Parise Kathia;24 katia parise.jpeg
8;LA CIVICA;25;Pellizzari Simone;25 PellizzariSimone.jpeg
8;LA CIVICA;26;Roat Giorgio;26 giorgio roat.jpeg
8;LA CIVICA;27;Ravagnani Alice;27 Ravagnani Alice.jpg
8;LA CIVICA;28;Rossi Luigi;28 Luigi Rossi.jpeg
8;LA CIVICA;29;Sciretta Franco;29 franco sciretta.jpeg
8;LA CIVICA;30;Taranto Claudia;30 claudia taranto.jpeg
8;LA CIVICA;31;Tirello Francesco;31 francesco tirello.jpeg
8;LA CIVICA;32;Tinebra Alice;32 Foto Alice Tinebra.jpg
8;LA CIVICA;33;Toccolini Adriano;33 toccolini adriano.jpeg
8;LA CIVICA;34;Tusha Dhurata;34 tusha durata.jpeg
8;LA CIVICA;35;Zine Sekali Samir;35 ZineSekaliSamir.jpeg
9;JWA - WIRTH ANDERLAN;1;Wirth Anderlan J�rgen;liste-jwa-nr1-juergen-wirth-anderlan.jpg
9;JWA - WIRTH ANDERLAN;2;Haller Wilhelm;liste-jwa-nr2-wilhelm-haller.jpg
9;JWA - WIRTH ANDERLAN;3;K�nigsrainer Hartwig (Hartl);liste-jwa-nr3-hartwig-konigsrainer.jpg
9;JWA - WIRTH ANDERLAN;4;Rella Daniel;liste-jwa-nr4-daniel-rella.jpg
9;JWA - WIRTH ANDERLAN;5;Colli Andreas (Colli);liste-jwa-nr5-andreas-colli.jpg
9;JWA - WIRTH ANDERLAN;6;Singer Susanna;liste-jwa-nr6-susanna-singer.jpg
9;JWA - WIRTH ANDERLAN;7;Stecher Daniel;
9;JWA - WIRTH ANDERLAN;8;Kircher Paul;
9;JWA - WIRTH ANDERLAN;9;Galeone Michele;
9;JWA - WIRTH ANDERLAN;10;Liensberger Stefan;
9;JWA - WIRTH ANDERLAN;11;Oberprantacher Artur;
9;JWA - WIRTH ANDERLAN;12;Aichner Ulrike (Ulli);
9;JWA - WIRTH ANDERLAN;13;Major Thomas;
9;JWA - WIRTH ANDERLAN;14;Dunkel Herward Arno;
9;JWA - WIRTH ANDERLAN;15;Bacher Arthur;
9;JWA - WIRTH ANDERLAN;16;Andergassen Wolfgang;
9;JWA - WIRTH ANDERLAN;17;Moser Ulrich Christoph;
9;JWA - WIRTH ANDERLAN;18;Steger Christian;
9;JWA - WIRTH ANDERLAN;19;Hofer Manuela;
9;JWA - WIRTH ANDERLAN;20;Ragginer Evelyn;
9;JWA - WIRTH ANDERLAN;21;Schatzer Monika;
9;JWA - WIRTH ANDERLAN;22;Ritsch Heidi;
9;JWA - WIRTH ANDERLAN;23;Hofer Eva;
9;JWA - WIRTH ANDERLAN;24;Gostner Cornelia;
9;JWA - WIRTH ANDERLAN;25;Rautscher Arno;
9;JWA - WIRTH ANDERLAN;26;Rohregger Sonja;
9;JWA - WIRTH ANDERLAN;27;Fuchs Barbara;
9;JWA - WIRTH ANDERLAN;28;Nusser Manuela;
9;JWA - WIRTH ANDERLAN;29;Hofer Leah Maria;
9;JWA - WIRTH ANDERLAN;30;Stockner Manuela;
9;JWA - WIRTH ANDERLAN;31;Kirchler Hildegard;
9;JWA - WIRTH ANDERLAN;32;Clementi Roman;
9;JWA - WIRTH ANDERLAN;33;Putti Christine;
9;JWA - WIRTH ANDERLAN;34;Scheiber Martin;
9;JWA - WIRTH ANDERLAN;35;Minisini Sonja;
10;DIE FREIHEITLICHEN;1;Zoderer Sabine;1 Sabine Zoderer.jpg
10;DIE FREIHEITLICHEN;2;Mair Ulli;2 Ulli Mair.jpg
10;DIE FREIHEITLICHEN;3;Leiter Andreas (Reber);3 Andreas Leiter Reber.jpg
10;DIE FREIHEITLICHEN;4;Mahlknecht Otto;4 Otto Mahlknecht.jpg
