MUNI_NUM;MUNI_DESC_I;MUNI_DESC_D;MUNI_DESC_L;MUNI_SECT;MUNI_SECP;MUNI_BLANK;MUNI_NULLS;LIST_NUM;LIST_NAME;LIST_VOTES
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;16;48;14;SVP SÜDTIROLER VOLKSPARTEI;350
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;16;48;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;197
021012;BRONZOLO;BRANZOLL;BRANZOLL;2;2;16;48;16;FÜR SÜDTIROL MIT WIDMANN;28
021013;BRUNICO;BRUNECK;BURNECH;14;14;92;172;1;TEAM K;1622
021013;BRUNICO;BRUNECK;BURNECH;14;14;92;172;2;MOVIMENTO 5 STELLE;95
021013;BRUNICO;BRUNECK;BURNECH;14;14;92;172;3;ENZIAN;41
021013;BRUNICO;BRUNECK;BURNECH;14;14;92;172;4;STF SÜDTIROLER FREIHEIT;841
021013;BRUNICO;BRUNECK;BURNECH;14;14;92;172;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;146
021013;BRUNICO;BRUNECK;BURNECH;14;14;92;172;6;VERDI GRÜNE VËRC;878
021013;BRUNICO;BRUNECK;BURNECH;14;14;92;172;7;FRATELLI D’ITALIA;361
021013;BRUNICO;BRUNECK;BURNECH;14;14;92;172;8;LA CIVICA;19
021013;BRUNICO;BRUNECK;BURNECH;14;14;92;172;9;JWA - WIRTH ANDERLAN;461
021013;BRUNICO;BRUNECK;BURNECH;14;14;92;172;10;DIE FREIHEITLICHEN;328
021013;BRUNICO;BRUNECK;BURNECH;14;14;92;172;11;FORZA ITALIA;26
021013;BRUNICO;BRUNECK;BURNECH;14;14;92;172;12;VITA;321
021013;BRUNICO;BRUNECK;BURNECH;14;14;92;172;13;CENTRO DESTRA;15
021013;BRUNICO;BRUNECK;BURNECH;14;14;92;172;14;SVP SÜDTIROLER VOLKSPARTEI;2862
021013;BRUNICO;BRUNECK;BURNECH;14;14;92;172;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;189
021013;BRUNICO;BRUNECK;BURNECH;14;14;92;172;16;FÜR SÜDTIROL MIT WIDMANN;279
021014;CAINES;KUENS;KUENS;1;1;2;1;1;TEAM K;42
021014;CAINES;KUENS;KUENS;1;1;2;1;2;MOVIMENTO 5 STELLE;0
021014;CAINES;KUENS;KUENS;1;1;2;1;3;ENZIAN;1
021014;CAINES;KUENS;KUENS;1;1;2;1;4;STF SÜDTIROLER FREIHEIT;34
021014;CAINES;KUENS;KUENS;1;1;2;1;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;1
021014;CAINES;KUENS;KUENS;1;1;2;1;6;VERDI GRÜNE VËRC;12
021014;CAINES;KUENS;KUENS;1;1;2;1;7;FRATELLI D’ITALIA;3
021014;CAINES;KUENS;KUENS;1;1;2;1;8;LA CIVICA;2
021014;CAINES;KUENS;KUENS;1;1;2;1;9;JWA - WIRTH ANDERLAN;17
021014;CAINES;KUENS;KUENS;1;1;2;1;10;DIE FREIHEITLICHEN;19
021014;CAINES;KUENS;KUENS;1;1;2;1;11;FORZA ITALIA;0
021014;CAINES;KUENS;KUENS;1;1;2;1;12;VITA;4
021014;CAINES;KUENS;KUENS;1;1;2;1;13;CENTRO DESTRA;0
021014;CAINES;KUENS;KUENS;1;1;2;1;14;SVP SÜDTIROLER VOLKSPARTEI;110
021014;CAINES;KUENS;KUENS;1;1;2;1;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;1
021014;CAINES;KUENS;KUENS;1;1;2;1;16;FÜR SÜDTIROL MIT WIDMANN;4
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;36;84;1;TEAM K;408
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;36;84;2;MOVIMENTO 5 STELLE;15
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;36;84;3;ENZIAN;36
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;36;84;4;STF SÜDTIROLER FREIHEIT;355
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;36;84;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;60
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;36;84;6;VERDI GRÜNE VËRC;394
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;36;84;7;FRATELLI D’ITALIA;72
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;36;84;8;LA CIVICA;15
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;36;84;9;JWA - WIRTH ANDERLAN;646
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;36;84;10;DIE FREIHEITLICHEN;288
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;36;84;11;FORZA ITALIA;8
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;36;84;12;VITA;121
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;36;84;13;CENTRO DESTRA;8
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;36;84;14;SVP SÜDTIROLER VOLKSPARTEI;1860
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;36;84;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;58
021015;CALDARO S.S.D.V.;KALTERN A.D.W.;KALTERN A.D.W.;5;5;36;84;16;FÜR SÜDTIROL MIT WIDMANN;196
021016;CAMPO DI TRENS;FREIENFELD;FREIENFELD;3;3;18;14;1;TEAM K;281
021016;CAMPO DI TRENS;FREIENFELD;FREIENFELD;3;3;18;14;2;MOVIMENTO 5 STELLE;1
021016;CAMPO DI TRENS;FREIENFELD;FREIENFELD;3;3;18;14;3;ENZIAN;3
021016;CAMPO DI TRENS;FREIENFELD;FREIENFELD;3;3;18;14;4;STF SÜDTIROLER FREIHEIT;401
021016;CAMPO DI TRENS;FREIENFELD;FREIENFELD;3;3;18;14;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;7
